,idtramo,transito (vh/h),des_tramo,coordinates,color
12,A104,669,EUGENIA VIÑES,"[[-0.3251811468, 39.467415777], [-0.3249529399, 39.4654174418], [-0.32501813430000004, 39.4624498083]]","(255, 165, 0)"
13,A105,1337,FILIPINAS,"[[-0.37574658050000004, 39.4569276904], [-0.3787242564, 39.4611671847]]","(255, 165, 0)"
14,A106,390,FONTANARES,"[[-0.3972920607, 39.4627940458], [-0.3903182981, 39.4564941684]]","(0, 255, 0)"
15,A107,378,"FRANCIA, AVDA.","[[-0.357084265, 39.46135921], [-0.3438202247, 39.4585580142]]","(0, 255, 0)"
16,A108,259,GASCO OLIAG,"[[-0.3569434318, 39.4795011111], [-0.3581480566, 39.477023492]]","(0, 255, 0)"
17,A109,1069,GASPAR AGUILAR,"[[-0.3962249769, 39.4475947018], [-0.3903182981, 39.4564941684]]","(255, 165, 0)"
18,A11,540,"ALAMEDA, PROLONGACION","[[-0.35359942, 39.4599808332], [-0.34785339590000003, 39.4559830305]]","(255, 165, 0)"
19,A110,544,GASPAR AGUILAR,"[[-0.3903182981, 39.4564941684], [-0.3882709143, 39.4595783046]]","(255, 165, 0)"
20,A122,3481,GRAN VIA RAMON Y CAJAL,"[[-0.3815792958, 39.4655001451], [-0.3850318051, 39.4703385614]]","(255, 0, 0)"
21,A122,3481,GRAN VIA RAMON Y CAJAL,"[[-0.33582405930000003, 39.4609951814], [-0.33516924940000004, 39.4634592411]]","(255, 0, 0)"
22,A123,1,GUADALAVIAR,"[[-0.37497372570000004, 39.481482009], [-0.375546207, 39.4818732008], [-0.3772554853, 39.4827803656], [-0.3804185466, 39.4829822613]]","(0, 255, 0)"
23,A124,1098,GUILLEM DE CASTRO,"[[-0.38341917070000003, 39.4703958195], [-0.3839738905, 39.4719298775], [-0.3839269357, 39.4736988524], [-0.3841499862, 39.4756771706]]","(255, 165, 0)"
24,A127,972,GUILLEM DE CASTRO,"[[-0.3841499862, 39.4756771706], [-0.3836847921, 39.4782342058], [-0.3829174152, 39.4804224864]]","(255, 165, 0)"
25,A128,1638,GUILLEM DE CASTRO,"[[-0.38341917070000003, 39.4703958195], [-0.3812294745, 39.4687058307], [-0.3797992995, 39.4682360543]]","(255, 165, 0)"
26,A136,2394,JACINTO BENAVENTE,"[[-0.3641680839, 39.4689894357], [-0.36135061560000004, 39.4644423949], [-0.36086970700000004, 39.463204911]]","(255, 0, 0)"
